payroll_id,employee_id,financial_year,month,basic_salary,hra,special_allowance,other_allowances,gross_salary,employee_pf,professional_tax,tds,net_salary,payroll_status,processed_at,batch_id,payable_days,lop_days,lop_amount,overtime_hours,overtime_amount,pf_employee,pf_employer,esi_employee,esi_employer,pt,lwf,bonus,incentives,earnings_json,deductions_json,processed_by,lwf_employer
PAY-13FAC3B2,EMP001,2024-25,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Error,2026-06-30T16:05:45.628312,PB-202604-74D2,26,,,,,,,,,,,,,"[{""name"": ""Error"", ""amount"": 0}]","[{""name"": ""Error"", ""amount"": 0, ""error"": ""No active contract found""}]",Rahul Verma,
PAY-7418AC44,EMP002,2024-25,4,50000.00,0.00,0.00,2850.00,2850.00,1800.00,0.00,0.00,1028.62,PROCESSED,2026-06-30T16:05:45.778270,PB-202604-74D2,26,0,0.00,0,0.00,1800.00,1800.00,21.38,92.62,0.00,0.00,0.00,0.00,"[{""name"": ""Basic Salary"", ""code"": ""BASIC"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""House Rent Allowance"", ""code"": ""HRA"", ""category"": ""Earning"", ""computation_type"": ""Percentage"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Dearness Allowance"", ""code"": ""DA"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Special Allowance"", ""code"": ""SPECIAL"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Conveyance Allowance"", ""code"": ""CONVEYANCE"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 1600.0}, {""name"": ""Medical Allowance"", ""code"": ""MEDICAL"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 1250.0}, {""name"": ""Performance Bonus"", ""code"": ""BONUS"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Incentives"", ""code"": ""INCENTIVE"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}]","[{""name"": ""Provident Fund"", ""code"": ""PF"", ""category"": ""Deduction"", ""computation_type"": ""Percentage"", ""taxable"": ""No"", ""amount"": 1800.0}, {""name"": ""ESI"", ""code"": ""ESI"", ""category"": ""Deduction"", ""computation_type"": ""Formula"", ""taxable"": ""No"", ""amount"": 21.38}, {""name"": ""Professional Tax"", ""code"": ""PT"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}, {""name"": ""Labour Welfare Fund"", ""code"": ""LWF"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}, {""name"": ""Loan Recovery"", ""code"": ""LOAN"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}, {""name"": ""TDS (Placeholder)"", ""code"": ""TDS"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}]",Rahul Verma,0.00
PAY-F0E1AC21,EMP003,2024-25,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Error,2026-06-30T16:05:45.798378,PB-202604-74D2,26,,,,,,,,,,,,,"[{""name"": ""Error"", ""amount"": 0}]","[{""name"": ""Error"", ""amount"": 0, ""error"": ""No active contract found""}]",Rahul Verma,
PAY-B22018D6,EMP004,2024-25,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Error,2026-06-30T16:05:45.847275,PB-202604-74D2,26,,,,,,,,,,,,,"[{""name"": ""Error"", ""amount"": 0}]","[{""name"": ""Error"", ""amount"": 0, ""error"": ""No active contract found""}]",Rahul Verma,
PAY-EBBD0621,HR001,2024-25,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Error,2026-06-30T16:05:45.889823,PB-202604-74D2,26,,,,,,,,,,,,,"[{""name"": ""Error"", ""amount"": 0}]","[{""name"": ""Error"", ""amount"": 0, ""error"": ""No active contract found""}]",Rahul Verma,
PAY-3DD137FC,EMP005,2024-25,4,70000.00,0.00,0.00,2850.00,2850.00,1800.00,0.00,0.00,1028.62,PROCESSED,2026-06-30T16:05:46.025470,PB-202604-74D2,26,0,0.00,0,0.00,1800.00,1800.00,21.38,92.62,0.00,0.00,0.00,0.00,"[{""name"": ""Basic Salary"", ""code"": ""BASIC"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""House Rent Allowance"", ""code"": ""HRA"", ""category"": ""Earning"", ""computation_type"": ""Percentage"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Dearness Allowance"", ""code"": ""DA"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Special Allowance"", ""code"": ""SPECIAL"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Conveyance Allowance"", ""code"": ""CONVEYANCE"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 1600.0}, {""name"": ""Medical Allowance"", ""code"": ""MEDICAL"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 1250.0}, {""name"": ""Performance Bonus"", ""code"": ""BONUS"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Incentives"", ""code"": ""INCENTIVE"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}]","[{""name"": ""Provident Fund"", ""code"": ""PF"", ""category"": ""Deduction"", ""computation_type"": ""Percentage"", ""taxable"": ""No"", ""amount"": 1800.0}, {""name"": ""ESI"", ""code"": ""ESI"", ""category"": ""Deduction"", ""computation_type"": ""Formula"", ""taxable"": ""No"", ""amount"": 21.38}, {""name"": ""Professional Tax"", ""code"": ""PT"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}, {""name"": ""Labour Welfare Fund"", ""code"": ""LWF"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}, {""name"": ""Loan Recovery"", ""code"": ""LOAN"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}, {""name"": ""TDS (Placeholder)"", ""code"": ""TDS"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}]",Rahul Verma,0.00
PAY-A48586EB,EMP006,2024-25,4,25000.00,0.00,0.00,2850.00,2850.00,1800.00,0.00,0.00,1028.62,PROCESSED,2026-06-30T16:05:46.133208,PB-202604-74D2,26,0,0.00,0,0.00,1800.00,1800.00,21.38,92.62,0.00,0.00,0.00,0.00,"[{""name"": ""Basic Salary"", ""code"": ""BASIC"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""House Rent Allowance"", ""code"": ""HRA"", ""category"": ""Earning"", ""computation_type"": ""Percentage"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Dearness Allowance"", ""code"": ""DA"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Special Allowance"", ""code"": ""SPECIAL"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Conveyance Allowance"", ""code"": ""CONVEYANCE"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 1600.0}, {""name"": ""Medical Allowance"", ""code"": ""MEDICAL"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 1250.0}, {""name"": ""Performance Bonus"", ""code"": ""BONUS"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Incentives"", ""code"": ""INCENTIVE"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}]","[{""name"": ""Provident Fund"", ""code"": ""PF"", ""category"": ""Deduction"", ""computation_type"": ""Percentage"", ""taxable"": ""No"", ""amount"": 1800.0}, {""name"": ""ESI"", ""code"": ""ESI"", ""category"": ""Deduction"", ""computation_type"": ""Formula"", ""taxable"": ""No"", ""amount"": 21.38}, {""name"": ""Professional Tax"", ""code"": ""PT"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}, {""name"": ""Labour Welfare Fund"", ""code"": ""LWF"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}, {""name"": ""Loan Recovery"", ""code"": ""LOAN"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}, {""name"": ""TDS (Placeholder)"", ""code"": ""TDS"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}]",Rahul Verma,0.00
PAY-C4E8A944,EMP001,2024-25,6,35000.00,0.00,0.00,2850.00,2850.00,1800.00,0.00,0.00,1003.62,PROCESSED,2026-06-30T16:11:55.706590,PB-202606-C6B2,26,0,0.00,0,0.00,1800.00,1800.00,21.38,92.62,0.00,25.00,0.00,0.00,"[{""name"": ""Basic Salary"", ""code"": ""BASIC"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""House Rent Allowance"", ""code"": ""HRA"", ""category"": ""Earning"", ""computation_type"": ""Percentage"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Dearness Allowance"", ""code"": ""DA"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Special Allowance"", ""code"": ""SPECIAL"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Conveyance Allowance"", ""code"": ""CONVEYANCE"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 1600.0}, {""name"": ""Medical Allowance"", ""code"": ""MEDICAL"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 1250.0}, {""name"": ""Performance Bonus"", ""code"": ""BONUS"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Incentives"", ""code"": ""INCENTIVE"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}]","[{""name"": ""Provident Fund"", ""code"": ""PF"", ""category"": ""Deduction"", ""computation_type"": ""Percentage"", ""taxable"": ""No"", ""amount"": 1800.0}, {""name"": ""ESI"", ""code"": ""ESI"", ""category"": ""Deduction"", ""computation_type"": ""Formula"", ""taxable"": ""No"", ""amount"": 21.38}, {""name"": ""Professional Tax"", ""code"": ""PT"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}, {""name"": ""Labour Welfare Fund"", ""code"": ""LWF"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 25.0}, {""name"": ""Loan Recovery"", ""code"": ""LOAN"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}, {""name"": ""TDS (Placeholder)"", ""code"": ""TDS"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}]",Rahul Verma,75.00
PAY-613F62F4,EMP002,2024-25,6,50000.00,0.00,0.00,2850.00,2850.00,1800.00,0.00,0.00,1028.62,PROCESSED,2026-06-30T16:11:55.832475,PB-202606-C6B2,26,0,0.00,0,0.00,1800.00,1800.00,21.38,92.62,0.00,0.00,0.00,0.00,"[{""name"": ""Basic Salary"", ""code"": ""BASIC"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""House Rent Allowance"", ""code"": ""HRA"", ""category"": ""Earning"", ""computation_type"": ""Percentage"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Dearness Allowance"", ""code"": ""DA"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Special Allowance"", ""code"": ""SPECIAL"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Conveyance Allowance"", ""code"": ""CONVEYANCE"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 1600.0}, {""name"": ""Medical Allowance"", ""code"": ""MEDICAL"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 1250.0}, {""name"": ""Performance Bonus"", ""code"": ""BONUS"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Incentives"", ""code"": ""INCENTIVE"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}]","[{""name"": ""Provident Fund"", ""code"": ""PF"", ""category"": ""Deduction"", ""computation_type"": ""Percentage"", ""taxable"": ""No"", ""amount"": 1800.0}, {""name"": ""ESI"", ""code"": ""ESI"", ""category"": ""Deduction"", ""computation_type"": ""Formula"", ""taxable"": ""No"", ""amount"": 21.38}, {""name"": ""Professional Tax"", ""code"": ""PT"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}, {""name"": ""Labour Welfare Fund"", ""code"": ""LWF"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}, {""name"": ""Loan Recovery"", ""code"": ""LOAN"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}, {""name"": ""TDS (Placeholder)"", ""code"": ""TDS"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}]",Rahul Verma,0.00
PAY-C8659D6F,EMP003,2024-25,6,60000.00,0.00,0.00,2850.00,2850.00,1800.00,0.00,0.00,1027.87,PROCESSED,2026-06-30T16:11:55.940842,PB-202606-C6B2,26,0,0.00,0,0.00,1800.00,1800.00,21.38,92.62,0.00,0.75,0.00,0.00,"[{""name"": ""Basic Salary"", ""code"": ""BASIC"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""House Rent Allowance"", ""code"": ""HRA"", ""category"": ""Earning"", ""computation_type"": ""Percentage"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Dearness Allowance"", ""code"": ""DA"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Special Allowance"", ""code"": ""SPECIAL"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Conveyance Allowance"", ""code"": ""CONVEYANCE"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 1600.0}, {""name"": ""Medical Allowance"", ""code"": ""MEDICAL"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 1250.0}, {""name"": ""Performance Bonus"", ""code"": ""BONUS"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}, {""name"": ""Incentives"", ""code"": ""INCENTIVE"", ""category"": ""Earning"", ""computation_type"": ""Fixed"", ""taxable"": ""Yes"", ""amount"": 0.0}]","[{""name"": ""Provident Fund"", ""code"": ""PF"", ""category"": ""Deduction"", ""computation_type"": ""Percentage"", ""taxable"": ""No"", ""amount"": 1800.0}, {""name"": ""ESI"", ""code"": ""ESI"", ""category"": ""Deduction"", ""computation_type"": ""Formula"", ""taxable"": ""No"", ""amount"": 21.38}, {""name"": ""Professional Tax"", ""code"": ""PT"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}, {""name"": ""Labour Welfare Fund"", ""code"": ""LWF"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.75}, {""name"": ""Loan Recovery"", ""code"": ""LOAN"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}, {""name"": ""TDS (Placeholder)"", ""code"": ""TDS"", ""category"": ""Deduction"", ""computation_type"": ""Fixed"", ""taxable"": ""No"", ""amount"": 0.0}]",Rahul Verma,2.25
